,carat,cut,color,clarity,depth,table,price,x,y,z
7562,1.17,Very Good,G,VS2,63.2,57.0,7076,6.73,6.71,4.25
7563,1.17,Very Good,D,SI2,60.9,60.0,6062,6.72,6.78,4.11
7564,1.17,Premium,G,VS1,62.4,56.0,7564,6.81,6.75,4.23
7565,1.17,Ideal,I,VS1,62.2,53.0,6013,6.78,6.81,4.23
7566,1.17,Very Good,F,VS2,62.4,56.0,7432,6.71,6.76,4.2
7567,1.17,Fair,I,SI2,59.2,68.0,3833,6.91,6.84,4.07
7568,1.17,Fair,I,I1,64.5,59.0,2336,6.67,6.47,4.25
7569,1.17,Ideal,G,VVS2,60.6,56.0,9225,6.87,6.84,4.15
7570,1.17,Ideal,F,VS2,61.8,55.0,7927,6.74,6.81,4.19
7571,1.17,Ideal,F,SI2,62.2,55.0,5556,6.73,6.7,4.18
7572,1.17,Ideal,F,SI1,63.0,54.0,5032,6.71,6.66,4.21
7573,1.17,Premium,G,VS1,60.6,60.0,7666,6.81,6.79,4.12
7574,1.17,Very Good,E,SI2,62.5,59.0,5163,6.65,6.7,4.17
7575,1.17,Very Good,H,SI2,62.7,56.0,4826,6.68,6.74,4.21
7576,1.17,Fair,E,VS2,64.5,56.0,6814,6.75,6.68,4.33
7577,1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13
7578,1.17,Premium,G,SI1,62.6,55.0,7731,6.75,6.7,4.21
7579,1.17,Ideal,G,VVS1,61.9,56.0,9799,6.73,6.78,4.18
7580,1.17,Ideal,I,SI1,61.7,56.0,6405,6.73,6.78,4.17
7581,1.17,Premium,F,VS2,62.4,56.0,7568,6.76,6.71,4.2
7582,1.17,Ideal,D,SI2,62.7,57.0,5949,6.72,6.7,4.21
7583,1.17,Premium,I,SI2,62.7,57.0,4423,6.77,6.69,4.22
7584,1.17,Ideal,J,VS1,62.5,57.0,5242,6.68,6.63,4.16
7585,1.17,Premium,H,SI1,62.5,57.0,5751,6.79,6.75,4.23
7586,1.17,Premium,H,SI1,58.5,62.0,5831,6.95,6.9,4.05
7587,1.17,Premium,H,I1,62.8,58.0,3669,6.71,6.69,4.21
7588,1.17,Ideal,G,VS2,62.0,56.0,7548,6.74,6.71,4.17
7589,1.17,Fair,I,I1,65.4,62.0,2935,6.68,6.57,4.33
7590,1.17,Ideal,G,VS2,61.3,56.0,7413,6.79,6.81,4.17
7591,1.17,Ideal,F,SI1,62.2,56.0,5837,6.71,6.73,4.18
7592,1.17,Ideal,I,VS1,61.5,57.0,5892,6.74,6.79,4.16
7593,1.17,Ideal,H,IF,61.0,53.0,8266,6.89,6.85,4.19
7594,1.17,Good,I,SI1,63.6,61.0,4914,6.66,6.64,4.23
7595,1.17,Ideal,G,VVS2,61.7,55.0,8947,6.74,6.77,4.17
7596,1.17,Ideal,I,SI2,61.8,54.0,4999,6.78,6.82,4.2
7597,1.17,Ideal,I,SI2,62.2,56.0,4488,6.72,6.79,4.2
7598,1.17,Premium,H,SI2,62.7,56.0,4914,6.74,6.68,4.21
7599,1.17,Good,I,SI1,60.0,64.0,4586,6.91,6.83,4.12
7600,1.17,Ideal,D,SI2,62.7,57.0,5842,6.7,6.72,4.21
7601,1.17,Ideal,G,VVS2,61.6,56.0,9630,6.77,6.83,4.18
7602,1.17,Ideal,F,VS1,62.2,56.0,8648,6.74,6.77,4.2
7603,1.17,Fair,H,SI2,60.0,66.0,4717,6.86,6.78,4.09
7604,1.17,Good,D,SI2,57.8,62.0,4639,6.97,6.91,4.01
7605,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13
7606,1.17,Ideal,G,VS2,62.0,56.0,7413,6.71,6.74,4.17
7607,1.17,Premium,F,SI2,59.9,59.0,4092,6.82,6.86,4.1
7608,1.17,Very Good,H,SI2,63.1,58.0,4455,6.72,6.64,4.22
7609,1.17,Ideal,G,VS1,61.8,57.0,8639,6.76,6.8,4.19
7610,1.17,Ideal,G,VS2,61.3,56.0,7548,6.81,6.79,4.17
7611,1.17,Ideal,F,VS1,62.2,56.0,8806,6.77,6.74,4.2
7612,1.17,Ideal,H,SI2,62.3,57.0,5111,6.78,6.74,4.21
7613,1.17,Ideal,H,SI2,62.3,57.0,5019,6.74,6.78,4.21
7614,1.17,Premium,J,SI1,61.9,58.0,4423,6.77,6.73,4.18
7615,1.16,Good,J,VVS2,61.6,57.0,5831,6.79,6.85,4.2
7616,1.16,Ideal,G,VVS2,62.2,56.0,9419,6.74,6.7,4.18
7617,1.16,Very Good,D,SI1,61.8,58.0,5695,6.72,6.78,4.17
7618,1.16,Ideal,D,VVS2,61.9,55.0,12314,6.72,6.76,4.17
7619,1.16,Premium,E,SI1,61.3,60.0,6366,6.7,6.64,4.09
7620,1.16,Ideal,G,SI2,61.5,54.0,5206,6.75,6.78,4.16
7621,1.16,Ideal,J,SI1,60.7,57.0,3955,6.77,6.83,4.13
7622,1.16,Ideal,D,SI2,62.1,54.0,5898,6.79,6.74,4.2
7623,1.16,Very Good,F,SI1,63.4,55.0,6301,6.73,6.65,4.24
7624,1.16,Ideal,G,VVS1,60.5,57.0,9075,6.78,6.83,4.12
7625,1.16,Very Good,I,VS2,62.6,59.0,4869,6.63,6.69,4.17
7626,1.16,Ideal,G,SI2,61.5,54.0,5301,6.78,6.75,4.16
7627,1.16,Premium,J,VS2,62.2,59.0,4702,6.74,6.69,4.18
7628,1.16,Premium,F,SI2,62.1,59.0,5164,6.76,6.71,4.18
7629,1.16,Ideal,G,IF,62.0,57.0,10082,6.73,6.7,4.16
7630,1.16,Very Good,E,SI2,62.4,55.0,5034,6.69,6.77,4.2
7631,1.16,Premium,H,SI1,61.9,59.0,5091,6.73,6.74,4.17
7632,1.16,Ideal,I,SI1,62.6,57.0,5091,6.71,6.67,4.19
7633,1.16,Ideal,J,SI1,61.8,55.0,5124,6.75,6.78,4.18
7634,1.16,Ideal,H,SI2,62.2,55.7,5260,6.68,6.74,4.18
7635,1.16,Ideal,I,SI2,62.8,57.0,3605,6.8,6.64,4.22
7636,1.16,Premium,H,SI1,61.2,57.0,5554,6.84,6.76,4.16
7637,1.16,Ideal,F,SI1,62.6,58.0,6768,6.68,6.73,4.2
7638,1.16,Ideal,H,SI1,64.2,59.0,5411,6.66,6.61,4.26
7639,1.16,Fair,H,SI2,66.3,57.0,4222,6.56,6.5,4.33
7640,1.16,Ideal,H,SI2,61.1,56.0,5509,6.78,6.79,4.15
7641,1.16,Fair,G,SI1,65.9,55.0,4612,6.54,6.51,4.3
7642,1.16,Ideal,F,VVS2,60.5,58.0,10850,6.77,6.85,4.12
7643,1.16,Ideal,G,SI2,61.6,55.0,5078,6.78,6.8,4.18
7644,1.16,Ideal,I,VS2,61.5,57.0,5207,6.75,6.78,4.16
7645,1.16,Ideal,E,SI2,61.9,55.0,5991,6.71,6.77,4.17
7646,1.16,Good,H,SI1,64.0,58.0,5678,6.63,6.56,4.22
7647,1.16,Premium,F,VS2,60.5,59.0,5781,6.86,6.8,4.13
7648,1.16,Ideal,D,VVS2,62.0,55.0,12989,6.68,6.72,4.19
7649,1.16,Ideal,G,VS2,60.7,58.0,7128,6.86,6.81,4.15
7650,1.16,Ideal,I,SI1,61.5,60.0,4742,6.76,6.71,4.14
7651,1.16,Ideal,H,SI1,62.2,54.0,6036,6.72,6.75,4.19
7652,1.16,Premium,I,VS2,62.4,58.0,5016,6.69,6.65,4.16
7653,1.16,Premium,H,SI1,61.2,58.0,5554,6.81,6.76,4.15
7654,1.16,Premium,F,VS2,62.7,58.0,7003,6.71,6.65,4.19
7655,1.16,Premium,D,I1,61.8,59.0,3644,6.74,6.78,4.18
7656,1.16,Premium,H,SI2,62.1,58.0,3573,6.72,6.65,4.15
7657,1.16,Very Good,H,VS2,63.0,57.0,5537,6.64,6.66,4.19
7658,1.16,Ideal,G,VVS2,62.0,56.0,8803,6.75,6.71,4.17
7659,1.16,Ideal,G,SI2,61.6,55.0,5695,6.74,6.77,4.16
7660,1.16,Ideal,G,SI1,60.9,57.0,5519,6.79,6.75,4.12
7661,1.16,Ideal,G,SI2,61.9,56.0,4969,6.77,6.73,4.18
7662,1.16,Very Good,G,SI1,60.5,60.0,5372,6.86,6.77,4.12
7663,1.16,Fair,H,SI2,68.2,55.0,3118,6.47,6.37,4.38
7664,1.16,Ideal,G,SI2,61.9,56.0,4880,6.73,6.77,4.18
7665,1.16,Ideal,I,SI1,62.4,57.0,5107,6.71,6.75,4.2
7666,1.16,Ideal,E,SI1,61.9,55.0,6755,6.74,6.79,4.19
7667,1.16,Ideal,F,VVS2,60.5,57.0,11120,6.8,6.86,4.13
7668,1.16,Premium,G,SI1,62.5,58.0,6132,6.73,6.68,4.19
7669,1.16,Premium,H,SI1,59.6,58.0,4814,6.86,6.83,4.08
7670,1.16,Fair,G,SI2,60.1,60.0,4307,6.9,6.72,4.09
7671,1.16,Ideal,H,VS1,62.4,56.0,7175,6.71,6.73,4.19
7672,1.16,Ideal,D,SI2,62.5,56.0,5615,6.7,6.8,4.23
7673,1.16,Premium,J,SI1,62.5,58.0,4222,6.73,6.67,4.19
7674,1.16,Premium,H,SI1,61.2,58.0,5454,6.76,6.81,4.15
7675,1.16,Premium,D,I1,61.8,59.0,3711,6.78,6.74,4.18
7676,1.16,Premium,G,VVS1,61.6,55.0,11717,6.85,6.72,4.18
7677,1.16,Premium,G,SI2,62.5,58.0,4969,6.72,6.68,4.19
7678,1.16,Premium,G,SI2,62.6,58.0,4969,6.72,6.66,4.19
7679,1.16,Ideal,D,VS2,62.1,57.0,8038,6.7,6.73,4.17
7680,1.16,Very Good,G,VVS2,61.6,58.0,9205,6.67,6.73,4.13
7681,1.16,Ideal,F,VVS1,61.5,56.0,13595,6.76,6.81,4.17
7682,1.16,Very Good,G,VVS1,60.7,56.0,9023,6.77,6.83,4.13
7683,1.16,Good,F,SI2,63.7,63.0,4395,6.55,6.63,4.2
7684,1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05
7685,1.16,Ideal,E,SI2,59.9,57.0,5093,6.82,6.8,4.08
7686,1.16,Ideal,G,IF,62.0,57.0,9901,6.7,6.73,4.16
7687,1.16,Ideal,G,VS2,62.3,57.0,7074,6.66,6.72,4.17
7688,1.16,Premium,I,SI1,60.0,58.0,4872,6.82,6.78,4.08
7689,1.16,Premium,G,VS2,59.9,60.0,7203,6.88,6.85,4.11
7690,1.16,Premium,J,SI1,62.2,58.0,4326,6.75,6.68,4.18
7691,1.16,Good,F,SI2,60.8,65.0,4131,6.78,6.75,4.11
7692,1.16,Ideal,D,SI2,62.1,54.0,5793,6.74,6.79,4.2
7693,1.16,Ideal,H,SI1,61.8,54.0,6084,6.74,6.81,4.19
7694,1.16,Ideal,J,IF,60.6,56.0,5519,6.79,6.86,4.14
7695,1.16,Ideal,E,SI2,62.7,56.0,5093,6.73,6.69,4.21
7696,1.16,Ideal,D,VS2,62.1,57.0,8185,6.73,6.7,4.17
7697,1.16,Ideal,E,SI1,61.9,57.0,6896,6.72,6.76,4.17
7698,1.16,Ideal,G,SI1,61.8,55.0,5908,6.75,6.78,4.18
7699,1.16,Ideal,D,SI1,62.0,56.0,5805,6.73,6.76,4.18
7700,1.16,Premium,F,VVS1,60.4,60.0,10809,6.9,6.77,4.13
7701,1.16,Ideal,G,IF,59.9,57.0,10368,6.85,6.93,4.13
7702,1.16,Ideal,G,VS2,62.5,56.0,7451,6.67,6.73,4.19
7703,1.16,Premium,H,SI2,62.6,57.0,4979,6.75,6.67,4.2
7704,1.16,Very Good,H,SI2,62.8,59.0,5799,6.7,6.64,4.19
7705,1.16,Ideal,D,SI1,62.0,56.0,5911,6.76,6.73,4.18
7706,1.16,Ideal,I,SI1,61.7,56.0,4668,6.76,6.7,4.15
7707,1.16,Premium,H,SI1,62.8,57.0,5702,6.73,6.67,4.21
7708,1.16,Good,H,SI1,64.0,58.0,5576,6.56,6.63,4.22
7709,1.16,Ideal,G,VS2,61.7,57.0,7113,6.72,6.8,4.17
7710,1.16,Ideal,H,SI1,62.2,55.0,5554,6.79,6.74,4.21
7711,1.16,Very Good,D,SI2,62.5,60.0,5044,6.64,6.7,4.17
7712,1.16,Premium,G,VS2,59.9,60.0,7074,6.85,6.88,4.11
7713,1.16,Ideal,G,IF,62.3,55.0,10082,6.79,6.73,4.21
7714,1.16,Premium,H,SI2,60.2,59.0,4872,6.84,6.78,4.1
7715,1.16,Ideal,I,SI2,62.4,55.0,3800,6.76,6.69,4.2
7716,1.16,Ideal,I,VS2,60.1,62.0,5587,6.83,6.78,4.09
7717,1.16,Ideal,E,SI2,62.7,56.0,5001,6.69,6.73,4.21
7718,1.16,Ideal,I,VS2,59.3,56.0,4869,6.84,6.88,4.07
7719,1.16,Ideal,G,VS1,61.5,55.0,9248,6.75,6.81,4.17
7720,1.16,Premium,F,SI2,61.9,59.0,4476,6.71,6.66,4.14
7721,1.16,Ideal,D,VS1,61.2,58.0,10241,6.73,6.76,4.13
7722,1.16,Premium,I,VS1,60.4,59.0,5457,6.89,6.82,4.14
7723,1.16,Premium,D,SI2,62.5,60.0,5136,6.7,6.64,4.17
7724,1.16,Ideal,G,VS1,60.9,55.0,9248,6.79,6.84,4.15
7725,1.16,Ideal,F,VVS2,61.8,56.7,10439,6.7,6.78,4.16
7726,1.16,Premium,I,SI1,61.5,57.0,5002,6.79,6.73,4.16
7727,1.16,Ideal,G,VVS2,62.0,56.0,8646,6.71,6.75,4.17
7728,1.16,Premium,F,SI2,62.1,59.0,3787,6.74,6.63,4.15
7729,1.16,Ideal,H,VS2,62.1,57.0,6954,6.7,6.73,4.17
7730,1.16,Premium,G,VS1,61.9,58.0,8107,6.76,6.72,4.17
7731,1.16,Very Good,H,SI2,61.8,58.0,4785,6.75,6.81,4.19
7732,1.16,Premium,H,VS2,62.3,56.0,6202,6.77,6.68,4.19
7733,1.16,Very Good,H,SI2,63.2,57.0,4455,6.66,6.7,4.22
7734,1.16,Ideal,H,SI1,60.0,60.0,5852,6.87,6.84,4.11
7735,1.16,Premium,H,SI1,60.2,59.0,5480,6.84,6.77,4.1
7736,1.16,Good,G,SI2,63.7,57.0,3644,6.59,6.56,4.19
7737,1.16,Ideal,J,SI1,60.7,57.0,4028,6.83,6.77,4.13
7738,1.16,Ideal,G,VVS2,62.2,56.0,9251,6.7,6.74,4.18
7739,1.16,Premium,F,SI2,61.2,61.0,4820,6.77,6.74,4.14
7740,1.16,Very Good,I,SI1,62.9,58.0,4586,6.64,6.69,4.19
7741,1.16,Premium,F,SI2,62.1,59.0,5072,6.71,6.76,4.18
7742,1.16,Very Good,J,VS2,63.7,56.0,4323,6.63,6.68,4.24
7743,1.16,Very Good,G,SI1,60.7,59.0,5678,6.74,6.87,4.13
7744,1.16,Ideal,I,SI2,62.6,56.0,4478,6.68,6.73,4.2
7745,1.16,Ideal,I,VS2,60.8,56.0,5587,6.85,6.81,4.15
7746,1.15,Ideal,D,VS2,58.5,57.0,8114,6.96,6.93,4.06
7747,1.15,Very Good,H,VS2,63.1,56.0,5750,6.7,6.62,4.2
7748,1.15,Very Good,E,SI2,60.0,59.0,5257,6.78,6.82,4.08
7749,1.15,Ideal,E,SI1,62.7,56.0,5526,6.73,6.7,4.21
7750,1.15,Ideal,G,SI1,61.7,56.0,5224,6.72,6.76,4.16
7751,1.15,Ideal,G,SI2,62.4,56.0,4877,6.7,6.74,4.19
7752,1.15,Ideal,H,SI1,63.0,57.0,4911,6.71,6.66,4.21
7753,1.15,Ideal,H,SI2,60.5,56.0,4315,6.83,6.8,4.13
7754,1.15,Very Good,G,VVS2,63.2,58.0,9068,6.68,6.61,4.2
7755,1.15,Premium,E,SI2,61.7,60.0,4328,6.78,6.7,4.16
7756,1.15,Very Good,H,SI2,61.9,57.0,4654,6.68,6.72,4.15
7757,1.15,Very Good,G,I1,61.2,58.0,3510,6.74,6.8,4.14
7758,1.15,Very Good,G,VVS2,58.4,59.0,8349,6.84,6.92,4.02
7759,1.15,Ideal,H,SI2,62.6,55.0,4572,6.74,6.65,4.19
7760,1.15,Premium,I,SI1,62.2,59.0,4830,6.75,6.68,4.18
7761,1.15,Ideal,I,VS1,62.1,55.0,5626,6.76,6.67,4.18
7762,1.15,Premium,G,SI2,62.2,60.0,4985,6.69,6.66,4.15
7763,1.15,Ideal,H,I1,62.0,55.0,3606,6.76,6.69,4.17
7764,1.15,Ideal,G,VVS2,62.5,53.0,8592,6.69,6.72,4.18
7765,1.15,Premium,E,SI2,62.5,58.0,4328,6.72,6.65,4.18
7766,1.15,Ideal,H,SI1,61.9,55.0,5296,6.74,6.77,4.18
7767,1.15,Ideal,I,VS1,61.3,56.0,5930,6.74,6.76,4.14
7768,1.15,Very Good,H,SI1,62.4,57.0,5270,6.68,6.71,4.18
7769,1.15,Premium,D,SI1,63.0,57.0,6942,6.69,6.64,4.2
7770,1.15,Premium,H,SI1,62.0,58.0,5433,6.77,6.71,4.18
7771,1.15,Premium,H,SI1,60.9,57.0,5139,6.8,6.72,4.12
7772,1.15,Very Good,I,SI1,62.5,60.0,4851,6.68,6.72,4.19
7773,1.15,Premium,H,SI2,60.4,58.0,3220,6.8,6.75,4.09
7774,1.15,Ideal,E,VVS2,61.5,57.0,12193,6.72,6.75,4.14
7775,1.15,Premium,D,SI1,61.7,58.0,6041,6.76,6.69,4.15
7776,1.15,Very Good,H,VS2,62.4,56.0,5646,6.66,6.68,4.16
7777,1.15,Premium,G,I1,61.2,58.0,3574,6.8,6.74,4.14
7778,1.15,Premium,D,SI1,61.1,53.0,7213,6.83,6.76,4.15
7779,1.15,Ideal,G,VVS1,62.7,56.0,10644,6.69,6.67,4.19
7780,1.15,Ideal,G,VS2,59.2,56.0,5564,6.88,6.83,0.0
7781,1.15,Ideal,I,VS1,61.7,56.0,7096,6.73,6.76,4.16
7782,1.15,Good,H,SI1,60.2,61.0,5005,6.74,6.84,4.09
7783,1.15,Good,H,VS1,64.3,54.0,5935,6.66,6.62,4.27
7784,1.15,Ideal,G,SI1,62.0,55.0,6313,6.72,6.76,4.18
7785,1.15,Very Good,H,SI2,63.7,56.0,4661,6.63,6.66,4.23
7786,1.15,Premium,G,SI1,62.0,58.0,4776,6.68,6.77,4.17
7787,1.15,Very Good,D,VS2,61.4,57.0,7662,6.7,6.78,4.14
7788,1.15,Ideal,J,SI1,61.8,57.0,4347,6.73,6.67,4.14
7789,1.15,Very Good,G,VS2,62.9,58.0,6831,6.62,6.7,4.19
7790,1.15,Ideal,H,VS2,62.6,57.0,5989,6.75,6.69,4.21
7791,1.15,Premium,F,SI2,61.8,54.0,4186,6.78,6.75,4.18
7792,1.15,Ideal,H,SI1,62.4,54.0,6106,6.71,6.76,4.2
7793,1.15,Ideal,F,VVS2,62.7,57.0,10757,6.69,6.65,4.18
7794,1.15,Ideal,I,SI1,61.9,56.0,6300,6.68,6.72,4.15
7795,1.15,Ideal,F,SI2,60.6,58.0,5635,6.75,6.79,4.1
7796,1.15,Good,J,SI2,63.8,60.0,3733,6.63,6.56,4.21
7797,1.15,Ideal,I,SI2,61.3,57.0,5216,6.78,6.71,4.13
7798,1.15,Ideal,J,VS1,61.5,55.0,5152,6.81,6.76,4.17
7799,1.15,Premium,E,SI2,62.3,58.0,4688,6.73,6.67,4.18
7800,1.15,Premium,F,SI2,61.1,57.0,5120,6.82,6.77,4.15
7801,1.15,Premium,F,VS1,62.7,58.0,8018,6.72,6.67,4.2
7802,1.15,Premium,G,SI1,63.0,59.0,5384,6.68,6.63,4.19
7803,1.15,Ideal,E,VVS1,60.9,56.0,12447,6.79,6.8,4.14
7804,1.15,Very Good,D,VS1,62.9,54.0,7978,6.72,6.69,4.22
7805,1.15,Ideal,F,VS1,61.1,55.0,10316,6.76,6.82,4.15
7806,1.15,Ideal,H,SI2,62.0,57.0,4830,6.75,6.66,4.16
7807,1.15,Very Good,D,SI2,63.5,58.0,4939,6.73,6.69,4.26
7808,1.15,Premium,H,SI2,62.9,56.0,4959,6.7,6.59,4.18
7809,1.15,Ideal,H,SI2,62.2,57.0,4186,6.68,6.63,4.14
7810,1.15,Very Good,H,SI1,60.9,57.0,5047,6.72,6.8,4.12
7811,1.15,Very Good,G,VS2,60.1,60.0,7175,6.75,6.8,4.08
7812,1.15,Ideal,H,VS2,62.4,56.0,6788,6.71,6.65,4.17
7813,1.15,Very Good,E,IF,59.2,57.0,12895,6.78,6.86,4.04
7814,1.15,Premium,G,SI1,62.2,56.0,5851,6.76,6.68,4.18
7815,1.15,Very Good,J,VS2,62.9,57.0,4766,6.73,6.63,4.2
7816,1.15,Premium,H,VS2,60.2,58.0,5191,6.86,6.8,4.11
7817,1.15,Premium,G,VVS1,60.8,58.0,8863,6.74,6.77,4.11
7818,1.15,Ideal,G,VS2,62.2,54.0,5008,6.74,6.65,4.17
7819,1.15,Ideal,D,SI2,61.7,57.0,5891,6.72,6.76,4.16
7820,1.15,Ideal,I,VS2,61.7,57.0,5534,6.72,6.74,4.15
7821,1.15,Very Good,E,SI2,61.7,60.0,4250,6.7,6.78,4.16
7822,1.15,Very Good,H,VS2,60.3,59.0,5831,6.75,6.79,4.08
7823,1.15,Premium,H,SI1,62.0,58.0,5506,6.77,6.66,4.16
7824,1.15,Ideal,G,VVS1,60.6,56.0,9377,6.83,6.8,4.13
7825,1.15,Ideal,I,VS2,61.7,59.0,5038,6.68,6.73,4.14
7826,1.15,Premium,H,VVS2,58.8,58.0,6917,6.9,6.87,4.05
7827,1.15,Premium,I,SI1,62.2,56.0,4637,6.77,6.67,4.18
7828,1.15,Very Good,G,SI1,62.2,59.0,5587,6.66,6.71,4.16
7829,1.15,Ideal,G,VVS2,61.8,56.0,9457,6.72,6.75,4.16
7830,1.15,Premium,G,VVS2,58.4,59.0,8501,6.92,6.84,4.02
7831,1.15,Ideal,E,VS2,61.4,57.0,9967,6.73,6.76,4.14
7832,1.15,Ideal,G,SI2,62.8,57.0,3613,6.7,6.65,4.19
7833,1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18
7834,1.15,Ideal,J,VS2,60.7,55.0,5125,6.77,6.83,4.13
7835,1.15,Very Good,J,SI2,63.6,57.0,4021,6.6,6.64,4.21
7836,1.15,Premium,H,SI1,60.2,60.0,4772,6.87,6.78,4.11
7837,1.15,Premium,I,SI1,62.5,60.0,4939,6.72,6.68,4.19
7838,1.15,Ideal,G,SI2,62.3,56.0,4838,6.67,6.75,4.18
7839,1.15,Very Good,E,SI2,63.1,63.0,5193,6.63,6.53,4.15
7840,1.15,Ideal,G,SI2,62.3,56.0,4927,6.75,6.67,4.18
7841,1.15,Ideal,G,VS2,61.6,55.0,7587,6.74,6.76,4.16
7842,1.15,Premium,F,SI2,62.2,59.0,4437,6.7,6.62,4.14
7843,1.15,Premium,E,SI2,61.7,59.0,5193,6.7,6.66,4.12
7844,1.15,Premium,H,SI2,62.4,57.0,4508,6.66,6.59,4.14
7845,1.15,Premium,E,SI2,61.8,56.0,4701,6.75,6.7,4.15
7846,1.15,Premium,I,SI1,59.6,58.0,4959,6.86,6.82,4.08
7847,1.15,Premium,H,SI2,62.0,58.0,4830,6.7,6.66,4.14
7848,1.15,Premium,G,SI1,62.0,58.0,4863,6.77,6.68,4.17
7849,1.15,Ideal,I,SI1,62.3,57.0,4925,6.74,6.67,4.18
7850,1.15,Premium,G,SI1,62.6,58.0,5851,6.71,6.65,4.18
7851,1.15,Ideal,F,VVS2,62.1,55.0,8743,6.69,6.74,4.17
7852,1.15,Very Good,G,SI1,61.3,62.0,5538,6.68,6.72,4.11
7853,1.15,Good,F,SI2,63.8,57.0,4437,6.65,6.6,4.23
7854,1.15,Ideal,H,VS2,62.8,54.0,6772,6.7,6.75,4.22
7855,1.15,Premium,G,VS2,61.5,58.0,6492,6.76,6.71,4.14
7856,1.15,Very Good,I,SI2,62.0,58.0,4405,6.69,6.73,4.16
7857,1.15,Very Good,H,SI2,63.0,54.0,4483,6.64,6.73,4.21
7858,1.15,Ideal,I,SI1,61.8,55.0,6300,6.73,6.76,4.17
7859,1.15,Premium,G,VVS1,60.8,58.0,9025,6.77,6.74,4.11
7860,1.15,Premium,G,SI2,62.7,58.0,4270,6.71,6.69,4.2
7861,1.14,Ideal,J,SI2,61.5,57.0,4212,6.73,6.77,4.15
7862,1.14,Ideal,H,VS2,61.6,56.0,5937,6.72,6.68,4.13
7863,1.14,Very Good,E,SI2,60.0,54.0,5593,6.74,6.97,4.11
7864,1.14,Premium,G,SI1,62.7,58.0,5424,6.68,6.63,4.17
7865,1.14,Premium,I,SI1,59.1,58.0,4788,6.83,6.81,4.03
7866,1.14,Premium,H,VS2,60.2,58.0,6095,6.81,6.74,4.08
7867,1.14,Premium,H,VS2,60.2,58.0,5986,6.74,6.81,4.08
7868,1.14,Ideal,F,SI2,61.7,56.0,4591,6.71,6.67,4.13
7869,1.14,Ideal,G,VS2,61.5,57.0,7171,6.72,6.68,4.12
7870,1.14,Ideal,H,VS2,61.7,57.0,5937,6.73,6.68,4.14
7871,1.14,Premium,F,VVS1,59.4,59.0,11654,6.87,6.8,4.06
7872,1.14,Very Good,E,SI2,62.6,56.0,4915,6.63,6.69,4.17
7873,1.14,Premium,D,SI2,62.4,58.0,4513,6.67,6.7,4.17
7874,1.14,Ideal,G,SI1,62.2,56.0,5650,6.69,6.66,4.15
7875,1.14,Ideal,H,SI1,61.6,57.0,5003,6.7,6.75,4.14
7876,1.14,Good,I,VS1,63.3,56.0,5056,6.6,6.68,4.2
7877,1.14,Ideal,H,VS2,61.6,56.0,5831,6.68,6.72,4.13
7878,1.14,Premium,H,SI1,61.9,58.0,5458,6.71,6.67,4.14
7879,1.14,Ideal,E,VVS2,62.3,55.0,10703,6.71,6.68,4.17
7880,1.14,Premium,G,VS2,60.9,57.0,7079,6.79,6.73,4.12
7881,1.14,Premium,H,SI1,59.3,59.0,5458,6.8,6.76,4.02
7882,1.14,Premium,J,SI1,62.4,59.0,3792,6.7,6.62,4.16
7883,1.14,Premium,G,VS2,61.9,58.0,6256,6.72,6.68,4.15
7884,1.14,Premium,G,SI1,62.3,59.0,5650,6.69,6.66,4.16
7885,1.14,Ideal,G,VS1,62.3,56.0,7948,6.73,6.7,4.18
7886,1.14,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
7887,1.14,Ideal,G,VVS1,61.0,56.0,9037,6.75,6.8,4.13
7888,1.14,Ideal,E,SI2,62.4,57.0,5473,6.64,6.7,4.16
7889,1.14,Ideal,F,I1,61.3,56.0,4124,6.76,6.74,4.13
7890,1.14,Premium,F,SI2,62.9,59.0,4737,6.64,6.62,4.17
7891,1.14,Ideal,J,VS1,61.6,56.0,5339,6.71,6.73,4.14
7892,1.14,Premium,D,SI1,58.9,59.0,6256,6.84,6.78,4.01
7893,1.14,Very Good,H,SI1,62.9,59.0,5367,6.62,6.64,4.17
7894,1.14,Ideal,E,VVS2,61.6,57.0,11206,6.68,6.73,4.13
7895,1.14,Ideal,I,VS2,62.9,56.0,5075,6.71,6.67,4.21
7896,1.14,Ideal,H,VS2,62.0,54.0,6628,6.72,6.74,4.17
7897,1.14,Premium,J,SI2,62.3,56.0,4022,6.73,6.66,4.17
7898,1.14,Premium,F,SI1,61.1,58.0,6448,6.77,6.72,4.12
7899,1.14,Very Good,E,SI2,61.5,58.0,5236,6.66,6.73,4.12
7900,1.14,Premium,H,SI1,63.0,57.0,4654,6.7,6.65,4.2
7901,1.14,Ideal,H,SI1,62.2,54.0,5763,6.69,6.74,4.18
7902,1.14,Very Good,J,SI2,62.4,57.0,4470,6.66,6.7,4.17
7903,1.14,Ideal,G,VS1,61.8,55.0,8121,6.71,6.76,4.16
7904,1.14,Premium,G,SI1,62.3,59.0,5548,6.66,6.69,4.16
